combo_class,best_combo,count
0,SPN|SPN|SPN|SPN,98
1,SPN|SPN|SPN|SRT,0
2,SPN|SPN|SPN|HRRN,1
3,SPN|SPN|SRT|SPN,0
4,SPN|SPN|SRT|SRT,0
5,SPN|SPN|SRT|HRRN,0
6,SPN|SPN|HRRN|SPN,9
7,SPN|SPN|HRRN|SRT,0
8,SPN|SPN|HRRN|HRRN,0
9,SPN|SRT|SPN|SPN,0
10,SPN|SRT|SPN|SRT,0
11,SPN|SRT|SPN|HRRN,0
12,SPN|SRT|SRT|SPN,0
13,SPN|SRT|SRT|SRT,1
14,SPN|SRT|SRT|HRRN,0
15,SPN|SRT|HRRN|SPN,0
16,SPN|SRT|HRRN|SRT,0
17,SPN|SRT|HRRN|HRRN,0
18,SPN|HRRN|SPN|SPN,4
19,SPN|HRRN|SPN|SRT,0
20,SPN|HRRN|SPN|HRRN,0
21,SPN|HRRN|SRT|SPN,0
22,SPN|HRRN|SRT|SRT,0
23,SPN|HRRN|SRT|HRRN,0
24,SPN|HRRN|HRRN|SPN,1
25,SPN|HRRN|HRRN|SRT,0
26,SPN|HRRN|HRRN|HRRN,0
27,SRT|SPN|SPN|SPN,1
28,SRT|SPN|SPN|SRT,0
29,SRT|SPN|SPN|HRRN,0
30,SRT|SPN|SRT|SPN,0
31,SRT|SPN|SRT|SRT,0
32,SRT|SPN|SRT|HRRN,0
33,SRT|SPN|HRRN|SPN,0
34,SRT|SPN|HRRN|SRT,0
35,SRT|SPN|HRRN|HRRN,0
36,SRT|SRT|SPN|SPN,0
37,SRT|SRT|SPN|SRT,0
38,SRT|SRT|SPN|HRRN,0
39,SRT|SRT|SRT|SPN,0
40,SRT|SRT|SRT|SRT,0
41,SRT|SRT|SRT|HRRN,0
42,SRT|SRT|HRRN|SPN,0
43,SRT|SRT|HRRN|SRT,0
44,SRT|SRT|HRRN|HRRN,0
45,SRT|HRRN|SPN|SPN,0
46,SRT|HRRN|SPN|SRT,0
47,SRT|HRRN|SPN|HRRN,0
48,SRT|HRRN|SRT|SPN,0
49,SRT|HRRN|SRT|SRT,0
50,SRT|HRRN|SRT|HRRN,0
51,SRT|HRRN|HRRN|SPN,0
52,SRT|HRRN|HRRN|SRT,0
53,SRT|HRRN|HRRN|HRRN,0
54,HRRN|SPN|SPN|SPN,5
55,HRRN|SPN|SPN|SRT,0
56,HRRN|SPN|SPN|HRRN,4
57,HRRN|SPN|SRT|SPN,0
58,HRRN|SPN|SRT|SRT,0
59,HRRN|SPN|SRT|HRRN,0
60,HRRN|SPN|HRRN|SPN,0
61,HRRN|SPN|HRRN|SRT,0
62,HRRN|SPN|HRRN|HRRN,0
63,HRRN|SRT|SPN|SPN,0
64,HRRN|SRT|SPN|SRT,0
65,HRRN|SRT|SPN|HRRN,0
66,HRRN|SRT|SRT|SPN,0
67,HRRN|SRT|SRT|SRT,0
68,HRRN|SRT|SRT|HRRN,0
69,HRRN|SRT|HRRN|SPN,0
70,HRRN|SRT|HRRN|SRT,0
71,HRRN|SRT|HRRN|HRRN,0
72,HRRN|HRRN|SPN|SPN,2
73,HRRN|HRRN|SPN|SRT,0
74,HRRN|HRRN|SPN|HRRN,0
75,HRRN|HRRN|SRT|SPN,0
76,HRRN|HRRN|SRT|SRT,0
77,HRRN|HRRN|SRT|HRRN,0
78,HRRN|HRRN|HRRN|SPN,1
79,HRRN|HRRN|HRRN|SRT,0
80,HRRN|HRRN|HRRN|HRRN,0
