combo_class,best_combo
0,SPN|SPN|SPN|SPN
1,SPN|SPN|SPN|SRT
2,SPN|SPN|SPN|HRRN
3,SPN|SPN|SRT|SPN
4,SPN|SPN|SRT|SRT
5,SPN|SPN|SRT|HRRN
6,SPN|SPN|HRRN|SPN
7,SPN|SPN|HRRN|SRT
8,SPN|SPN|HRRN|HRRN
9,SPN|SRT|SPN|SPN
10,SPN|SRT|SPN|SRT
11,SPN|SRT|SPN|HRRN
12,SPN|SRT|SRT|SPN
13,SPN|SRT|SRT|SRT
14,SPN|SRT|SRT|HRRN
15,SPN|SRT|HRRN|SPN
16,SPN|SRT|HRRN|SRT
17,SPN|SRT|HRRN|HRRN
18,SPN|HRRN|SPN|SPN
19,SPN|HRRN|SPN|SRT
20,SPN|HRRN|SPN|HRRN
21,SPN|HRRN|SRT|SPN
22,SPN|HRRN|SRT|SRT
23,SPN|HRRN|SRT|HRRN
24,SPN|HRRN|HRRN|SPN
25,SPN|HRRN|HRRN|SRT
26,SPN|HRRN|HRRN|HRRN
27,SRT|SPN|SPN|SPN
28,SRT|SPN|SPN|SRT
29,SRT|SPN|SPN|HRRN
30,SRT|SPN|SRT|SPN
31,SRT|SPN|SRT|SRT
32,SRT|SPN|SRT|HRRN
33,SRT|SPN|HRRN|SPN
34,SRT|SPN|HRRN|SRT
35,SRT|SPN|HRRN|HRRN
36,SRT|SRT|SPN|SPN
37,SRT|SRT|SPN|SRT
38,SRT|SRT|SPN|HRRN
39,SRT|SRT|SRT|SPN
40,SRT|SRT|SRT|SRT
41,SRT|SRT|SRT|HRRN
42,SRT|SRT|HRRN|SPN
43,SRT|SRT|HRRN|SRT
44,SRT|SRT|HRRN|HRRN
45,SRT|HRRN|SPN|SPN
46,SRT|HRRN|SPN|SRT
47,SRT|HRRN|SPN|HRRN
48,SRT|HRRN|SRT|SPN
49,SRT|HRRN|SRT|SRT
50,SRT|HRRN|SRT|HRRN
51,SRT|HRRN|HRRN|SPN
52,SRT|HRRN|HRRN|SRT
53,SRT|HRRN|HRRN|HRRN
54,HRRN|SPN|SPN|SPN
55,HRRN|SPN|SPN|SRT
56,HRRN|SPN|SPN|HRRN
57,HRRN|SPN|SRT|SPN
58,HRRN|SPN|SRT|SRT
59,HRRN|SPN|SRT|HRRN
60,HRRN|SPN|HRRN|SPN
61,HRRN|SPN|HRRN|SRT
62,HRRN|SPN|HRRN|HRRN
63,HRRN|SRT|SPN|SPN
64,HRRN|SRT|SPN|SRT
65,HRRN|SRT|SPN|HRRN
66,HRRN|SRT|SRT|SPN
67,HRRN|SRT|SRT|SRT
68,HRRN|SRT|SRT|HRRN
69,HRRN|SRT|HRRN|SPN
70,HRRN|SRT|HRRN|SRT
71,HRRN|SRT|HRRN|HRRN
72,HRRN|HRRN|SPN|SPN
73,HRRN|HRRN|SPN|SRT
74,HRRN|HRRN|SPN|HRRN
75,HRRN|HRRN|SRT|SPN
76,HRRN|HRRN|SRT|SRT
77,HRRN|HRRN|SRT|HRRN
78,HRRN|HRRN|HRRN|SPN
79,HRRN|HRRN|HRRN|SRT
80,HRRN|HRRN|HRRN|HRRN
